# dirty - the SAME 15 changes as dirty-climbing-trend.tsv, which ALARM at
# exit 1, with a raw 0xff byte injected into the last change id: the shape a
# git capture takes on a repo with non-UTF-8 paths. Strip the byte and this
# history exits 1; corrupted it must exit 2 - on the file path AND on stdin.
# That is the discriminating proof, an alarming history PREEMPTED by the
# decode error rather than read as one: exit 1 means tornado and nothing else.
a1b2c3d	2
b2c3d4e	2
c3d4e5f	3
d4e5f60	2
e5f6071	1
f60718a	2
0718a2b	3
18a2b3c	2
8a2b3c4	2
a2b3c45	1
b3c4567	6
c456789	7
4567891	5
5678912	6
6789123ÿ	6
