# cost per story through the relay, minutes, captured oldest-first
CHK-01	20
CHK-02	20
CHK-03	20
CHK-04	20
CHK-05	20
CHK-06	20
CHK-07	20
CHK-08	20
CHK-09	20
CHK-10	20
CHK-11	25
CHK-12	25
CHK-13	25
CHK-14	25
CHK-15	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
